date,destination_id,historical_footfall,accommodation_occupancy,booking_demand,search_demand,event_pressure,holiday_pressure,weather_pressure,traffic_pressure,observed_pressure,source,data_quality,confidence
2023-01-10,mirik,23.8,20.1,23.5,23.6,3.3,11.1,55.0,21.8,25.0,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-11,darjeeling,42.5,43.7,36.0,32.7,4.5,11.8,57.5,46.1,35.7,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-11,kalimpong,29.9,29.1,24.3,29.0,8.8,11.0,47.5,35.0,26.5,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-11,lava,17.6,15.3,15.6,14.2,6.0,8.4,56.2,20.8,23.3,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-11,lolegaon,15.2,16.9,15.6,12.7,7.9,14.7,49.2,18.9,21.9,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-11,rishop,13.3,12.4,11.7,14.0,4.1,13.5,56.0,11.3,17.3,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-11,mirik,23.2,22.7,20.4,15.7,8.8,6.8,48.5,26.8,20.8,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-12,darjeeling,39.2,39.9,37.7,32.3,71.1,14.5,47.0,45.6,37.2,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-12,kalimpong,29.9,29.3,27.4,29.2,71.7,7.2,54.3,29.6,33.9,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-12,lava,16.2,15.0,15.2,13.5,4.6,12.0,49.3,15.2,18.2,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-12,lolegaon,11.6,11.2,12.8,7.1,74.9,12.2,57.7,14.0,23.6,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-12,rishop,11.5,7.6,8.1,7.4,71.1,10.3,49.3,17.1,17.2,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-12,mirik,20.8,22.5,19.1,22.0,5.8,9.4,48.2,18.9,19.6,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-13,darjeeling,52.4,49.1,58.8,45.1,6.0,34.4,46.6,73.7,46.6,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-13,kalimpong,39.1,33.7,46.1,35.5,15.3,28.4,52.3,56.4,38.7,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-13,lava,19.2,20.9,29.6,14.9,13.1,34.1,54.9,38.7,28.4,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-13,lolegaon,18.9,15.0,22.8,12.4,5.0,31.8,53.1,33.2,25.2,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-13,rishop,14.6,15.4,23.1,12.4,13.9,38.9,55.5,31.8,22.1,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-13,mirik,28.9,27.5,35.8,29.5,15.7,26.1,48.0,44.7,28.1,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-14,darjeeling,60.0,57.0,61.5,49.0,14.0,35.5,57.3,83.7,54.0,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-14,kalimpong,39.4,36.5,42.8,32.2,6.2,39.4,56.0,57.7,39.9,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-14,lava,26.8,29.2,34.0,21.3,5.5,36.3,51.6,41.9,32.5,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-14,lolegaon,21.9,21.7,28.1,15.2,9.5,30.0,54.0,40.0,26.9,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-14,rishop,18.8,19.2,23.6,21.0,15.6,33.3,51.5,32.3,23.6,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-14,mirik,34.7,32.7,43.8,32.1,12.1,31.2,48.3,49.8,41.7,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-15,darjeeling,55.6,53.3,61.2,46.0,12.1,38.9,51.3,81.1,56.8,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-15,kalimpong,39.9,35.4,42.0,35.6,12.2,26.4,57.9,60.8,44.0,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-15,lava,21.3,17.0,30.3,18.7,14.3,32.6,49.3,39.3,29.3,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-15,lolegaon,19.9,17.8,29.7,17.6,16.4,38.0,49.3,37.9,27.7,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-15,rishop,17.7,20.1,24.3,18.8,8.7,29.5,53.0,37.0,24.6,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-15,mirik,32.7,29.5,38.5,29.2,10.9,29.8,48.3,50.9,34.6,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-16,darjeeling,40.8,36.2,39.7,31.3,8.0,12.1,55.7,44.4,32.8,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-16,kalimpong,32.0,30.0,25.7,28.2,6.7,13.7,56.5,32.4,25.0,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-16,lava,15.8,14.5,16.3,13.0,7.2,6.5,51.6,20.6,16.1,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-16,lolegaon,15.3,17.2,16.9,17.1,5.0,8.2,54.6,18.6,21.6,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-16,rishop,15.6,11.0,10.9,15.0,9.4,15.0,55.0,15.7,20.0,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-16,mirik,26.0,24.0,25.5,26.9,2.4,13.0,49.5,25.7,26.2,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-17,darjeeling,37.8,35.8,35.3,36.2,3.4,5.8,56.5,43.4,33.3,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-17,kalimpong,26.1,24.2,22.0,20.5,2.1,13.0,56.8,29.3,29.3,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-17,lava,13.2,11.9,10.9,12.5,7.1,9.2,49.0,17.7,16.5,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-17,lolegaon,14.2,11.2,13.6,13.2,9.9,8.0,57.7,17.0,19.3,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-17,rishop,11.4,11.2,12.0,12.5,2.4,11.1,52.0,16.5,14.6,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-17,mirik,24.1,21.5,23.3,22.4,7.4,12.2,53.9,27.9,27.9,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-18,darjeeling,41.2,42.0,39.1,34.3,5.5,10.8,54.8,42.4,34.2,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-18,kalimpong,26.3,21.8,24.5,27.9,6.2,14.1,56.0,26.1,28.7,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-18,lava,17.9,16.7,18.9,18.2,4.7,6.2,57.6,15.5,23.3,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-18,lolegaon,15.9,18.8,18.4,17.0,4.9,12.9,46.2,17.2,17.7,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-18,rishop,12.7,13.3,13.1,12.0,8.6,14.4,47.3,12.0,20.4,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-18,mirik,23.8,25.7,19.7,16.6,8.6,14.1,49.6,24.2,23.6,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-19,darjeeling,37.8,39.1,33.2,33.2,2.8,13.9,47.6,42.1,30.8,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-19,kalimpong,31.7,29.2,31.1,24.4,5.3,6.0,51.9,31.9,24.2,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-19,lava,18.8,13.9,16.3,16.0,9.6,13.6,47.2,20.6,13.2,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-19,lolegaon,13.3,11.7,9.8,7.9,8.8,9.5,54.0,16.2,14.0,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-19,rishop,13.7,9.0,14.9,9.5,3.0,10.6,46.8,17.0,15.6,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-19,mirik,26.0,23.1,21.1,26.9,2.0,13.6,47.7,23.7,24.6,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-20,darjeeling,47.6,42.1,53.1,37.1,5.2,36.8,48.9,70.6,45.1,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-20,kalimpong,37.3,35.3,44.3,32.6,15.1,32.7,47.3,55.4,39.3,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-20,lava,22.7,17.7,31.1,23.6,11.8,31.9,57.6,34.2,26.1,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-20,lolegaon,19.1,17.9,28.8,12.5,6.1,34.1,46.8,33.2,25.1,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-20,rishop,17.4,16.7,22.6,20.3,11.9,31.8,53.3,29.6,23.4,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-20,mirik,30.5,30.8,37.8,24.0,10.9,28.4,50.1,47.2,29.2,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-21,darjeeling,57.7,51.0,60.5,52.4,9.9,27.3,57.1,78.1,52.2,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-21,kalimpong,39.8,39.3,47.1,35.6,12.6,33.4,50.0,54.4,39.4,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-21,lava,22.6,22.6,30.8,23.6,14.4,39.5,53.2,36.4,28.6,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-21,lolegaon,22.4,18.8,25.5,23.2,9.8,36.4,52.9,39.9,27.5,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-21,rishop,22.4,24.9,31.2,20.8,13.4,25.4,57.1,39.0,29.1,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-21,mirik,36.8,33.1,40.6,27.4,16.3,33.5,50.8,49.8,38.2,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-22,darjeeling,54.7,47.7,60.3,45.3,10.5,30.1,50.4,80.5,50.6,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-22,kalimpong,36.2,30.4,38.6,33.0,13.8,29.1,53.9,54.3,34.1,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-22,lava,21.2,18.1,29.5,14.8,10.6,29.2,54.1,36.5,26.3,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-22,lolegaon,18.8,18.5,21.4,14.6,7.7,27.1,49.1,33.4,23.1,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-22,rishop,14.8,15.9,19.0,11.8,14.1,32.5,56.0,33.4,27.8,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-22,mirik,29.2,23.6,38.2,29.3,12.5,33.6,54.5,45.8,35.4,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-23,darjeeling,37.6,31.5,33.2,36.1,6.9,13.3,57.0,39.0,33.4,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-23,kalimpong,29.2,27.6,26.0,23.8,4.7,8.3,48.0,30.6,24.1,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-23,lava,12.9,12.2,15.1,9.8,7.8,13.2,55.8,12.6,17.5,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-23,lolegaon,15.0,16.2,15.0,10.0,8.2,9.9,55.1,18.4,19.2,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-23,rishop,12.6,15.2,12.1,12.4,7.0,13.6,53.5,11.3,18.5,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-23,mirik,22.0,18.9,16.7,19.4,4.5,9.5,46.7,26.1,21.6,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-24,darjeeling,37.3,38.0,37.2,34.0,6.1,9.6,52.7,44.3,35.7,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-24,kalimpong,30.8,30.2,26.9,26.9,3.2,5.6,47.2,35.1,25.3,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-24,lava,14.5,15.3,13.4,9.5,4.0,9.4,51.3,16.1,17.5,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-24,lolegaon,12.8,11.3,10.5,12.2,8.3,11.5,46.8,11.4,16.6,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-24,rishop,14.2,11.6,14.9,14.1,9.3,13.7,50.0,15.9,18.5,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-24,mirik,26.7,26.7,23.7,24.4,9.5,8.1,50.5,29.6,26.8,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-25,darjeeling,42.5,41.3,41.7,39.8,7.5,10.3,53.8,46.3,35.6,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-25,kalimpong,26.4,22.5,27.9,23.1,3.8,6.4,46.9,30.9,25.8,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-25,lava,12.8,14.2,14.5,15.1,2.3,8.4,55.2,11.7,15.1,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-25,lolegaon,16.6,17.8,17.7,11.3,5.5,9.1,54.1,15.4,19.0,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-25,rishop,12.6,10.1,13.6,10.6,6.3,8.1,55.7,13.8,16.7,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-25,mirik,26.5,28.8,24.1,21.1,5.1,10.3,57.6,29.6,23.9,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-26,darjeeling,60.5,54.0,53.7,66.7,9.0,85.3,47.2,66.7,57.1,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-26,kalimpong,40.5,36.3,40.5,44.1,5.5,87.2,48.7,39.6,40.6,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-26,lava,18.4,13.5,13.4,28.2,3.9,87.5,50.5,15.0,29.9,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-26,lolegaon,18.2,19.4,13.8,25.9,8.6,86.0,47.7,20.3,25.8,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-26,rishop,15.2,10.3,10.6,22.9,8.7,85.2,54.7,16.2,26.4,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-26,mirik,29.0,23.6,26.0,40.5,5.7,83.1,56.9,29.9,36.1,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-27,darjeeling,45.9,43.3,48.2,36.8,10.6,34.2,48.9,69.7,43.6,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-27,kalimpong,38.9,33.1,44.0,34.3,17.8,33.3,50.7,56.4,38.7,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-27,lava,20.5,23.1,24.9,13.2,15.3,30.2,54.8,37.1,27.7,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-27,lolegaon,16.6,12.0,23.6,17.7,7.3,36.7,51.6,34.8,20.8,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-27,rishop,17.4,18.8,20.5,18.1,10.9,29.4,46.5,30.4,28.5,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-27,mirik,29.5,31.6,35.5,23.5,14.8,27.9,50.3,49.0,34.8,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-28,darjeeling,60.9,55.9,61.0,52.3,16.6,36.1,56.7,83.6,57.9,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-28,kalimpong,42.6,43.4,47.3,40.5,14.5,26.2,53.2,62.4,42.4,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-28,lava,23.9,21.0,26.6,22.6,9.0,34.0,51.1,40.1,28.0,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-28,lolegaon,23.9,21.3,34.0,18.8,17.7,39.2,46.9,39.7,30.6,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-28,rishop,19.0,20.3,26.9,21.2,6.9,34.1,55.4,30.2,29.7,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-28,mirik,34.5,31.5,40.3,31.4,13.8,39.2,50.5,52.9,38.9,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-29,darjeeling,54.3,51.3,57.1,49.3,8.2,26.7,54.8,78.3,47.9,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-29,kalimpong,37.4,33.2,42.0,37.9,8.7,38.7,51.9,52.4,40.3,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-29,lava,24.1,22.3,33.4,20.7,6.1,35.2,56.1,37.3,28.9,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-29,lolegaon,19.8,21.7,29.0,19.5,17.1,34.6,55.5,35.6,29.2,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-29,rishop,15.6,12.3,19.5,16.6,5.3,33.3,50.4,34.0,19.9,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-29,mirik,29.5,26.2,39.1,28.1,11.8,36.5,55.9,43.3,33.0,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-30,darjeeling,43.6,42.1,39.7,40.2,4.8,13.8,55.4,49.1,40.0,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-30,kalimpong,28.1,29.7,22.3,21.0,3.2,6.6,49.9,31.3,30.0,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-30,lava,14.5,17.2,16.5,16.2,4.0,11.4,52.6,12.9,16.7,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-30,lolegaon,14.3,10.8,16.7,9.1,7.3,12.2,53.3,18.5,19.8,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-30,rishop,13.4,15.2,8.6,7.2,7.1,10.8,53.8,16.8,13.3,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-30,mirik,23.4,23.0,19.8,25.2,5.9,13.0,54.2,23.0,24.8,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-31,darjeeling,37.3,31.5,33.8,32.7,3.6,11.1,49.8,43.7,31.2,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-31,kalimpong,31.9,27.0,28.3,28.7,4.6,9.7,49.2,30.8,22.6,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-31,lava,12.8,10.4,10.8,12.4,4.0,13.7,47.9,13.3,13.2,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-31,lolegaon,16.1,15.1,14.9,14.2,4.5,5.2,57.3,17.1,16.7,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-31,rishop,16.3,13.0,13.8,9.8,6.0,13.8,53.9,16.5,13.1,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-31,mirik,22.9,24.6,22.9,22.8,4.9,9.0,52.8,21.7,21.8,SYNTHETIC_GENERATOR,HIGH,0.92
2023-02-01,darjeeling,50.0,43.6,46.0,46.6,4.2,14.9,72.2,51.0,44.6,SYNTHETIC_GENERATOR,HIGH,0.92
2023-02-01,kalimpong,37.3,33.8,37.8,35.4,3.6,10.1,70.0,33.7,33.0,SYNTHETIC_GENERATOR,HIGH,0.92
2023-02-01,lava,16.7,14.4,15.2,14.3,6.9,10.2,67.9,18.4,23.1,SYNTHETIC_GENERATOR,HIGH,0.92
